02/07/2023 16:21:985, alarmId: 23, tagValue: 105.55032, alarmType: HIGH, threshold: 11, priority: 1
02/07/2023 16:22:089, alarmId: 15, tagValue: 81.33683, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:22:091, alarmId: 16, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:095, alarmId: 17, tagValue: 81.33683, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:22:097, alarmId: 22, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:441, alarmId: 15, tagValue: 81.33683, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:22:443, alarmId: 16, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:446, alarmId: 17, tagValue: 81.33683, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:22:450, alarmId: 22, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:801, alarmId: 15, tagValue: 81.33683, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:22:804, alarmId: 22, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:804, alarmId: 16, tagValue: 81.33683, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:22:807, alarmId: 17, tagValue: 81.33683, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:23:162, alarmId: 22, tagValue: 78.918396, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:23:163, alarmId: 15, tagValue: 78.918396, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:23:166, alarmId: 16, tagValue: 78.918396, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:23:168, alarmId: 17, tagValue: 78.918396, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:23:516, alarmId: 15, tagValue: 78.918396, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:23:517, alarmId: 22, tagValue: 78.918396, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:23:519, alarmId: 16, tagValue: 78.918396, alarmType: LOW, threshold: 444, priority: 1
